DATE,T10Y2Y
2004-12-01,1.2190909090909091
2005-01-01,0.99900000000000000000
2005-02-01,0.78052631578947368421
2005-03-01,0.77090909090909090909
2005-04-01,0.68714285714285714286
2005-05-01,0.50047619047619047619
2005-06-01,0.35772727272727272727
2005-07-01,0.30650000000000000000
2005-08-01,0.21826086956521739130
2005-09-01,0.25285714285714285714
2005-10-01,0.19250000000000000000
2005-11-01,0.11850000000000000000
2005-12-01,0.06285714285714285714
2006-01-01,0.02050000000000000000
2006-02-01,-0.09947368421052631579
2006-03-01,-0.01000000000000000000
2006-04-01,0.10157894736842105263
2006-05-01,0.14181818181818181818
2006-06-01,-0.01545454545454545455
2006-07-01,-0.03100000000000000000
2006-08-01,-0.02695652173913043478
2006-09-01,-0.05000000000000000000
2006-10-01,-0.06666666666666666667
2006-11-01,-0.14523809523809523810
2006-12-01,-0.10900000000000000000
2007-01-01,-0.11666666666666666667
2007-02-01,-0.12631578947368421053
2007-03-01,-0.00909090909090909091
2007-04-01,0.02761904761904761905
2007-05-01,-0.02000000000000000000
2007-06-01,0.12238095238095238095
2007-07-01,0.18523809523809523810
2007-08-01,0.36173913043478260870
2007-09-01,0.51000000000000000000
2007-10-01,0.56000000000000000000
2007-11-01,0.81200000000000000000
2007-12-01,0.98050000000000000000
2008-01-01,1.2685714285714286
2008-02-01,1.7645000000000000
2008-03-01,1.8930000000000000
2008-04-01,1.6277272727272727
2008-05-01,1.4342857142857143
2008-06-01,1.3257142857142857
2008-07-01,1.4345454545454545
2008-08-01,1.4652380952380952
2008-09-01,1.6100000000000000
2008-10-01,2.2018181818181818
2008-11-01,2.3138888888888889
2008-12-01,1.5954545454545455
2009-01-01,1.7105000000000000
2009-02-01,1.8947368421052632
2009-03-01,1.8881818181818182
2009-04-01,2.0000000000000000
2009-05-01,2.3635000000000000
2009-06-01,2.5377272727272727
2009-07-01,2.5431818181818182
2009-08-01,2.4719047619047619
2009-09-01,2.4457142857142857
2009-10-01,2.4385714285714286
2009-11-01,2.5994736842105263
2009-12-01,2.7154545454545455
2010-01-01,2.8042105263157895
2010-02-01,2.8342105263157895
2010-03-01,2.7686956521739130
2010-04-01,2.7863636363636364
2010-05-01,2.5895000000000000
2010-06-01,2.4795454545454545
2010-07-01,2.3947619047619048
2010-08-01,2.1781818181818182
2010-09-01,2.1676190476190476
2010-10-01,2.1640000000000000
2010-11-01,2.3090000000000000
2010-12-01,2.6727272727272727
